Designator,Footprint,Quantity,Value,LCSC Part #
"AD8418AWBZ_1, AD8418AWBZ_2",SOP8,2,~,
"AS5145B_D1, AS5145B_I1",Encoder_AS5145B,2,AS5145B-HSST,
AUX_CONN1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
BATT1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
"BTN1, BTN2, BTN3, BTN_RST1",Generic_SmallButton_6x3,4,~,
C1,0402,1,4.7uF,
"C10, C11, C17, C2, C20, C21, C24, C25, C27, C28, C29, C33, C35, C36, C37, C38, C4, C40, C7, CR1, CR2, CR5, CS2, CS4, CS6, CS8",0402,26,0.1uF,
"C12, C19",0402,2,2.2uF,
"C13, C15",0402,2,20pF,
"C18, C22, C32, C34, CR3",0402,5,1uF,
"C23, C3, C30, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C6, C9, CS1, CS3, CS5, CS7",0402,21,10uF,
"C26, C39",0402,2,0.01uF,
"C31, C5, C8",0805,3,47uF,
"CONN_SEN_FRONT_D1, CONN_SEN_FRONT_I1, CONN_SEN_PA_D1, CONN_SEN_PA_I1",ZoroBot3_Sensors,4,Conn_01x04_Socket,
"CR4, CR7",0603,2,0.1uF,
CR6,1206,1,47uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",0805,10,LED,
"D11, D12",0402,2,LED,
D13,0805,1,D,
"DATA_MPU1, DATA_MPU2, DATA_MPU3",ZoroBot3_Data_MPU,3,Conn_01x04_Socket,
DC-DC1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,~,
DEIXAME_QUE_PENSE_1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
"ENC_D1, ENC_I1",ZoroBot3_PCBmain_Encoder,2,Conn_01x05_Socket,
"ENC_D_CONN1, ENC_I_CONN1",ZoroBot3_PCBmodule_encoder,2,Conn_01x05_Pin,
IR_RECIVER1,IR_SENSOR_SMD_TSSP77038ETR,1,~,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
JP3,Generic_simple_1x_SMD_pin,1,Conn_01x01_Pin,
L1,L_Wuerth_HCM-7050,1,L,
"LED_IR1, LED_IR2, LED_IR3, LED_IR4",LED_D5.0mm_Clear,4,SFH-4550,
LSM6DSR1,Bosch_LGA-14_3x2.5mm_P0.5mm,1,~,
MIC1,SOT-23-5_HandSoldering,1,~,
"MOSFET-N1, MOSFET-N2, MOSFET-N3, MOSFET-N4",SOT-23,4,AO3400 (A09T),
"Mot_D1, Mot_I1, Mot_S1",Connector_motor_1.25_Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,3,Conn_01x02_Socket,
PH1,SSOP-24_5.3x8.2mm_P0.65mm,1,~,
"POWER_MPU1, POWER_MPU2, POWER_MPU3",ZoroBot3_Power_MPU,3,Conn_01x02_Socket,
POWER_SWITCH1,Generic_Swich_ONOFF,1,SW_DPDT_x2,
Q1,SOT-23,1,NMOS,
Q2,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,AON7423,
"Q3, Q4, Q5, Q6",LED_D5.0mm_IRBlack,4,ST-1KL3A,
"R1, R10, R14, R15, R16, R2, R22, R3, R4, R5, R6, R7, R8, R9",0402,14,330,
"R11, R17, R19, R21, RS11, RS12, RS5, RS6",0402,8,47K,
"R12, R13",2512,2,0.100,
R18,0402,1,200K,
"R20, R23, R28",0402,3,1K,
"R24, R30",0402,2,100K,
"R25, R27",0402,2,10K,
R26,0402,1,20K,
R29,0402,1,45K,
R31,0402,1,60k,
RGB1,LED_RGB_5050-6,1,LED_RGB,
"RS1, RS2, RS7, RS8",0805,4,150,
"RS10, RS3, RS4, RS9",0805,4,6.8K,
"SEN_FRONT_D1, SEN_FRONT_I1, SEN_PARED_D1, SEN_PARED_I1",ZoroBot3_Main_sensors,4,Conn_01x04_Socket,
"U1, U2",InvenSense_QFN-24_3x3mm_P0.4mm,2,MPU-6500,
USB1,USB-C ST-Link USART,1,~,
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,Crystal_GND24,
